movementId,boxId,date,type,amount,currency,description
1,d6a53ba2-5549-4555-9a7f-c0fd77b0fce5,2025-07-08T09:00:00,INCOME,150000,COP,Ingreso válido
2,BOX-XYZ,2025-07-08T10:00:00,INCOME,120000,COP,Ingreso con boxId incorrecto
3,d6a53ba2-5549-4555-9a7f-c0fd77b0fce5,2025-07-08T11:00:00,EXPENSE,-50000,COP,Gasto negativo
4,d6a53ba2-5549-4555-9a7f-c0fd77b0fce5,2025-07-08T12:00:00,INCOME,80000,EUR,Ingreso con moneda no permitida
5,d6a53ba2-5549-4555-9a7f-c0fd77b0fce5,2025-07-08T13:00:00,EXPENSE,20000,COP,  
6,d6a53ba2-5549-4555-9a7f-c0fd77b0fce5,2025-07-08T14:00:00,TRANSFER,60000,COP,Tipo inválido
7,d6a53ba2-5549-4555-9a7f-c0fd77b0fce5,08/07/2025 15:00,INCOME,90000,COP,Fecha mal formateada
1,d6a53ba2-5549-4555-9a7f-c0fd77b0fce5,2025-07-08T15:00:00,EXPENSE,30000,COP,ID duplicado
9,d6a53ba2-5549-4555-9a7f-c0fd77b0fce5,2025-07-08T16:00:00,INCOME,0,COP,Monto cero
,d6a53ba2-5549-4555-9a7f-c0fd77b0fce5,2025-07-08T17:00:00,EXPENSE,25000,COP,Sin movementId
